,source_text,target_text
0,paraphrase: Eu comi o queijo.,Estou comendo queijo.
1,paraphrase: Eu estou comendo queijo.,Estou comendo queijo.
2,paraphrase: Você fala inglês?,Vocês estão falando inglês?
3,paraphrase: Você não fala inglês?,Você está falando inglês?
4,paraphrase: Você não sabe falar inglês?,Eles estão falando em inglês?
5,paraphrase: Ela fala inglês?,Será que ele fala inglês?
6,paraphrase: Ele pode falar inglês?,Falas inglês?
7,paraphrase: Você fala inglês fluentemente?,Ele fala inglês?
8,paraphrase: Dê uma lida no artigo.,Leiam o artigo.
9,paraphrase: Lê o artigo.,Leia o artigo.
10,paraphrase: Vida longa à Rainha!,Viva a Rainha!
11,paraphrase: Você é muito ingênuo.,Você é muita ingênua.
12,paraphrase: Você é muito ingênua.,Você é tão ingênuo.
13,paraphrase: Você é ingênuo demais.,Você é ingênua demais.
14,paraphrase: Onde estão meus óculos?,Onde estão os meus óculos?
15,paraphrase: Cadê meu óculos?,Onde estão os meus óculos?
16,paraphrase: Onde fica Paris?,Onde se situa Paris?
17,paraphrase: De onde é que vêm os cometas?,De onde vêm os cometas?
18,paraphrase: Onde está Tony?,Cadê o Tony?
19,paraphrase: Onde está o Tony?,Cadê Tony?
20,paraphrase: Onde tá Tony?,Onde tá o Tony?
21,"paraphrase: Você não conhece o meu pai, conhece?","Você não conhece meu pai, não é?"
22,paraphrase: O poço secou.,A fonte secou.
23,paraphrase: Não há mais água no poço.,A fonte secou.
24,paraphrase: Não tem água no poço.,O poço está seco.
25,paraphrase: Eu vim tão rápido quanto pude.,Eu vim aqui o mais rápido que pude.
26,paraphrase: Eu vim tão rápido como pude.,Eu vim aqui o mais rápido que pude.
27,paraphrase: Somos australianos.,Somos da Austrália.
28,paraphrase: Somos australianas.,Nós somos da Austrália.
29,paraphrase: Você veio aqui sozinha?,Tu vieste sozinha?
30,paraphrase: Você veio para cá sozinho?,Você veio sozinha?
31,paraphrase: Vem aqui e ajuda.,Vem cá e ajuda-me.
32,paraphrase: Venha cá e ajude-me.,Vem cá e ajuda-me.
33,paraphrase: Eu sou originalmente da Austrália.,Eu sou originário da Austrália.
34,paraphrase: Ele pensa que estou apaixonado por ela.,Ele acha que eu sou apaixonado por ela.
35,paraphrase: Eu perdi meu senso de cheiro.,Eu perdi o meu olfato.
36,paraphrase: Vejo você no trabalho.,Vejo você no escritório.
37,paraphrase: Você não viu nada ainda.,Vocês ainda não viram nada.
38,paraphrase: Isto é só o começo.,Vocês ainda não viram nada.
39,paraphrase: Você ainda não viu nada.,Isso é apenas o início.
40,paraphrase: Um carro o atropelou e ele morreu na hora.,Ele foi atropelado por um carro e faleceu instantaneamente.
41,paraphrase: Zhang parece confuso.,Zhang parece estar confuso.
42,paraphrase: É um cãozinho.,É um cachorrinho.
43,paraphrase: Será assustador.,Vai ser ótimo.
44,paraphrase: Bill estava no Japão.,Bill esteve no Japão.
45,paraphrase: Eu não sou demente.,Não sou demente.
46,paraphrase: Obrigado pela pizza.,Obrigada pela pizza.
47,paraphrase: Ainda não terminei os deveres.,Eu não terminei o meu dever de casa ainda.
48,paraphrase: Tom mora numa casa grande.,Tom mora numa mansão.
49,paraphrase: Tom mora sozinho em uma casa grande.,Tom mora numa mansão.
50,paraphrase: Isso seria o melhor.,Seria o melhor.
51,paraphrase: É rude falar de boca cheia.,É falta de educação falar com a boca cheia.
52,paraphrase: Levará só uns minutos.,Demora apenas alguns minutos.
53,paraphrase: O Tom não lembra de nada.,Tom não se lembra de nada.
54,paraphrase: Você vai levar isso?,Você vai comprar isso?
55,paraphrase: Eu acho que é errado mentir.,Eu acho errado mentir.
56,paraphrase: Eu acho que contar mentira é errado.,Eu acho errado mentir.
57,paraphrase: Quero que se sentem aqui.,Quero que você se sente aqui.
58,paraphrase: Tom não parecia estar muito ocupado.,Tom não parecia estar tão ocupado.
59,paraphrase: Tom não parecia muito ocupado.,Tom não parecia estar tão ocupado.
60,paraphrase: Isso é muito sério.,É muito sério.
61,paraphrase: A multidão vibrou quando ele marcou um gol.,A galera vibrou quando ele fez um gol.
62,paraphrase: Ele pegou vinte borboletas.,Ele capturou mais ou menos 20 borboletas.
63,paraphrase: Eu vou mesmo que chova.,"Mesmo que chova, eu vou."
64,paraphrase: Um dia tem vinte e quatro horas.,Há vinte e quatro horas em um dia.
65,paraphrase: Tenho 19 anos de idade.,Eu tenho 19 anos.
66,paraphrase: Que disse ele a Tom?,Quando vocês contaram ao Tom?
67,paraphrase: Que disse ela a Tom?,Quando você contou ao Tom?
68,paraphrase: O que você contou para o Tom?,O que vocês contaram para o Tom?
69,paraphrase: Eu pensei que você poderia me ajudar.,Eu pensei que as senhoras pudessem me ajudar.
70,paraphrase: Pensei que tu poderias ajudar-me.,Pensei que os senhores me pudessem ajudar.
71,paraphrase: Eu pensei que vós me poderíeis ajudar.,Eu pensava que a senhora poderia ajudar-me.
72,paraphrase: Pensei que vocês pudessem me ajudar.,Eu pensava que o senhor poderia me ajudar.
73,paraphrase: Ela caiu em prantos.,Ela rebentou a rir.
74,paraphrase: Ele estava rindo.,Ela sorria.
75,paraphrase: Ele riu.,Elas sorriram.
76,paraphrase: Ela chorou.,A menininha está chorando.
77,paraphrase: Ela chorava.,A menina está chorando.
78,paraphrase: Ele caiu no choro.,Eu chorei.
79,paraphrase: Ela sorriu.,Ele sorriu.
80,paraphrase: Ele estava chorando.,Ela fala alto.
81,paraphrase: Você começou a chorar.,Isso o fez chorar.
82,paraphrase: Comecei a chorar.,Isso a fez chorar.
83,paraphrase: Ele estava a chorar.,Ela riu.
84,paraphrase: Ela estava chorando.,Eu comecei a chorar.
85,paraphrase: Estava chorando.,Ele chorou.
86,paraphrase: Ela começou a rir.,Eles riram.
87,"paraphrase: De repente, ela começou a rir.",Eles sorriram.
88,paraphrase: Ele gargalhou.,Eles estavam rindo.
89,paraphrase: Ele está chorando.,Ela está chorando.
90,paraphrase: Tente acalmar-se.,Tente se acalmar.
91,"paraphrase: Por favor, diga-me a resposta à pergunta.","Por favor, responda à pergunta."
92,paraphrase: Eu não entendo muito bem.,Vou ser franco. Eu não entendo.
93,paraphrase: Desligue a TV.,Abaixe o volume da TV.
94,paraphrase: Desliga a TV.,Abaixe o som da TV.
95,paraphrase: O pêndulo parou.,O relógio parou.
96,paraphrase: Ela tem quase 20 anos.,Ela tem 20 anos no máximo.
97,"paraphrase: Não, sente-se.",Não; sentem-se!
98,paraphrase: Não; vá se sentar!,Não; sentem-se!
99,paraphrase: Posso sentar?,Posso me sentar?
100,paraphrase: Ele vai pagar no máximo 20 dólares.,"Ele só pode pagar vinte dólares, no máximo."
101,paraphrase: Você fala alemão.,Tu falas alemão.
102,paraphrase: Eles sabem falar alemão.,Tu falas alemão.
103,paraphrase: Várias árvores foram cortadas.,Muitas árvores foram derrubadas.
104,paraphrase: Muitas árvores caíram.,Muitas árvores foram derrubadas.
105,paraphrase: A árvore caiu.,A árvore veio abaixo.
106,paraphrase: O príncipe Charles será o próximo rei britânico.,O príncipe Charles poderia se tornar o próximo rei da Grã-Bretanha.
107,paraphrase: Ela é caucasiana.,Ela é branca.
108,paraphrase: Eles lutaram pela liberdade de religião.,Eles lutaram pela liberdade religiosa.
109,paraphrase: Existem também países em que a liberdade de expressão é limitada.,A liberdade de expressão é restrita em alguns países.
110,paraphrase: Também existem países onde a liberdade de expressão é restrita.,A liberdade de expressão é restrita em alguns países.
111,paraphrase: As mulheres desta terra lutam por liberdade.,As mulheres deste país lutam por liberdade.
112,paraphrase: As mulheres desta terra estão lutando por liberdade.,As mulheres deste país lutam por liberdade.
113,paraphrase: Cada país tem seus próprios costumes.,Todos os países têm os seus próprios costumes.
114,paraphrase: Eu vi com meus próprios olhos.,Vi com os meus próprios olhos.
115,paraphrase: O Tom pediu à Mary um conselho.,O Tom pediu um conselho à Mary.
116,paraphrase: Não pude ir à sua festa de aniversário.,Não consegui ir para o aniversário dele.
117,paraphrase: Ele está cavando sua própria cova.,Ele está cavando a própria cova.
118,paraphrase: Todas as respostas são corretas.,Todas as respostas estão corretas.
119,paraphrase: Prefiro trabalhar sozinho.,Eu prefiro trabalhar por conta própria.
120,paraphrase: O Tom não resistiu.,Tom não se importou.
121,paraphrase: Tom não queria machucar ninguém.,Tom não quis ofender a ninguém.
122,paraphrase: Tom não tinha a intenção de machucar ninguém.,O Tomás não quis ofender ninguém.
123,paraphrase: O que você quer que eu faça exatamente?,O que exatamente você gostaria que eu fizesse?
124,"paraphrase: O que é, exatamente, que tu queres que eu faça?",O que exatamente você gostaria que eu fizesse?
125,paraphrase: O que exatamente vocês querem que eu faça?,"Que querem os senhores, exatamente, que eu faça?"
126,paraphrase: Clive quer ser engenheiro eletrônico.,Clive quer ser engenheiro em eletrônica.
127,paraphrase: Ele se tornou Cristão.,Ele se converteu ao cristianismo.
128,paraphrase: Acabo de ser assaltado.,Eu acabei de ser roubado.
129,paraphrase: Eu já usei óculos.,Eu antes usava óculos.
130,paraphrase: Tom estava usando óculos.,Tom usou óculos.
131,paraphrase: Quebrei minhas lentes.,Quebrei meus óculos.
132,paraphrase: Eu sempre quis ir para outro país.,Eu sempre quis conhecer outro país.
133,paraphrase: Eu sempre quis visitar outro país.,Eu sempre quis conhecer outro país.
134,paraphrase: Durante o inverno eu durmo com duas cobertas.,Eu durmo com duas colchas no inverno.
135,paraphrase: O cheiro do inverno me agrada.,Eu gosto do cheiro do inverno.
136,paraphrase: Eu estou com vontade de tomar um sorvete.,Gostaria de um gelado.
137,paraphrase: Eu quero sorvete!,Quero um gelado.
138,paraphrase: Quero sorvete.,Quero gelado.
139,paraphrase: Eu quero um sorvete.,Eu quero tomar sorvete.
140,paraphrase: Esse filme é da hora.,Esse filme é maravilhoso.
141,paraphrase: Esse filme é genial.,Esse filme é sensacional.
142,paraphrase: O sorvete derreteu-se ao sol.,O sorvete derreteu ao sol.
143,paraphrase: Ela está ausente por motivos de saúde.,Ela não veio porque está doente.
144,paraphrase: Eu amo sorvete de chocolate!,Eu adoro sorvete de chocolate.
145,paraphrase: Eu gosto de sorvete de chocolate.,Eu adoro sorvete de chocolate.
146,paraphrase: Eu passei na prova.,Passei na prova.
147,paraphrase: Isto acontece porque você é uma garota.,É porque você é mulher.
148,paraphrase: Ele teve seu dente arrancado.,Extraíram o dente dele.
149,paraphrase: Betty pode tocar piano.,Betty sabe tocar piano.
150,paraphrase: Eu sou Charlie.,Sou Charlie.
151,paraphrase: Boa pergunta.,Ótima pergunta.
152,paraphrase: Esta é uma boa pergunta.,Ótima pergunta.
153,paraphrase: Esta é uma ótima pergunta.,Excelente pergunta!
154,paraphrase: Vamos nos ajudar!,Ajudemo-nos uns aos outros!
155,paraphrase: Onde você encontrou as chaves?,Onde encontraste as chaves?
156,paraphrase: Aqueles são os livros deles.,Esses são os seus livros.
157,paraphrase: Aqueles livros são deles.,Estes são os livros dele.
158,paraphrase: Não corte aquelas árvores.,Não derrube aquelas árvores.
159,"paraphrase: Você está brincando, não está?","Vocês estão brincando, né?"
160,paraphrase: Só podes estar a brincar!,"Vocês estão brincando, né?"
161,paraphrase: O Tom é seu amigo?,O Tom é amigo de vocês?
162,paraphrase: O Tom é teu amigo?,O Tom é amigo de vocês?
163,paraphrase: Como você passou o feriado?,Como passaste as férias?
164,paraphrase: Como foram suas férias de verão?,Como passaste as férias?
165,paraphrase: O que você faz no seu tempo livre?,Como é que vocês passam o tempo livre?
166,paraphrase: O que você faz na sua folga?,Como você passou suas férias?
167,paraphrase: Como têm passado o tempo livre?,O que tu fazes no teu tempo livre?
168,paraphrase: Quero saber com quem você estava esta tarde.,Eu quero saber com quem estavas esta tarde.
169,paraphrase: Não dobrar.,Não dobre!
170,paraphrase: Você está bem seguro.,Você está em um lugar seguro.
171,paraphrase: Você está seguro.,Você está em um lugar seguro.
172,paraphrase: Tu estás seguro.,Você está num lugar seguro.
173,paraphrase: Deixei o gato sair da casa.,Deixei o gato fora de casa.
174,paraphrase: Tom prometeu-me vir à festa.,Tom me prometeu que viria à festa.
175,paraphrase: Ele bebeu um pouco.,Ele bebera um pouco.
176,paraphrase: Tom nunca lava o seu carro.,Tom nunca lava o carro.
177,paraphrase: Ainda está chovendo?,Ainda chove?
178,paraphrase: É melhor você não dirigir um carro.,Seria melhor você não dirigir.
179,paraphrase: Minhas pernas ainda doem.,Minhas pernas estão sempre doendo.
180,paraphrase: Carros substituíram as bicicletas.,Os automóveis tomaram o lugar das bicicletas.
181,paraphrase: Onde está o restante do dinheiro?,Cadê o resto do dinheiro?
182,paraphrase: Posso pegar sua tesoura emprestada?,Posso pegar emprestada a sua faca?
183,"paraphrase: Por favor, me empreste a sua faca.",Posso emprestar a sua tesoura?
184,paraphrase: Você vai me emprestar sua faca?,Você me empresta a faca?
185,paraphrase: Você me emprestaria a sua faca?,"Empreste-me a sua faca, por favor."
186,paraphrase: Este é um livro velho.,Este livro é antigo.
187,paraphrase: Aquele livro é realmente velho.,É um livro muito antigo.
188,paraphrase: Este livro é velho mesmo!,Esse livro está velho.
189,paraphrase: O livro é velho.,Esse livro é muito antigo.
190,paraphrase: Isto é um velho livro.,Esse é um livro antiguíssimo.
